,pm2_5,pm2_5,pm2_5,pm2_5,Temperature,WindSpeed,Humidity,Pressure,traffic
2020-06-06 00:00:00,3.3553220675541806,3.6005911827087402,3.8826606114705404,4.619244502140925,9.0,10.0,66.0,29.47,49.619745
2020-06-06 01:00:00,3.7314619064331054,3.930309925760542,4.050335755715003,4.865023306437901,8.0,9.0,71.0,29.47,24.331548333333334
2020-06-06 02:00:00,4.18757358619145,4.1245090411259575,4.6015534951136665,5.414955275399344,8.0,12.0,71.0,29.47,27.459823333333333
2020-06-06 03:00:00,4.6344161828358965,5.050112009048462,5.148792811802456,6.333223374684652,7.0,9.0,76.0,29.47,25.06987916666667
2020-06-06 04:00:00,6.261899916330973,6.3771506150563555,6.566924699147543,8.170774841308594,7.0,10.0,76.0,29.47,20.50940833333333
2020-06-06 05:00:00,5.948032474517822,7.254723402170034,6.876468745144931,8.144116271625865,7.0,13.0,76.0,29.47,27.212830833333328
2020-06-06 06:00:00,5.950633696147373,7.436519588742938,7.57911787714277,8.742804908752442,8.0,17.0,71.0,29.47,39.67790833333333
2020-06-06 07:00:00,5.718855921427409,7.194245304380145,6.800260816301618,8.37929417536809,10.0,20.0,62.0,29.47,60.90834916666668
2020-06-06 08:00:00,5.790434074401856,6.19662036214556,6.538817916597639,7.940484205881755,11.0,21.0,58.0,29.47,87.45385416666669
2020-06-06 09:00:00,5.55784715016683,6.247326850891113,6.4519131524222235,6.98248553276062,11.5,22.0,56.0,29.47,115.97215083333334
2020-06-06 10:00:00,5.474948803583781,6.708777774464,7.126732076917376,7.917752816126897,12.0,22.5,56.0,29.47,138.02385333333328
2020-06-06 11:00:00,8.016864844730922,8.534946986607142,8.394389050347465,10.512219803673881,11.0,18.0,74.5,29.47,167.79328750000002
2020-06-06 12:00:00,10.423098904745919,12.464244978768486,12.245739459991455,14.7511443456014,10.5,15.0,82.0,29.47,185.6437975
2020-06-06 13:00:00,5.902759170532226,6.154791778988308,7.308101399739583,8.859242132731847,10.5,18.0,85.0,29.47,189.69454499999995
2020-06-06 14:00:00,4.738104311625163,5.992866961161296,5.811902216502598,6.456619103749593,12.0,18.0,77.0,29.47,190.11153083333332
2020-06-06 15:00:00,5.479010518391927,6.300547054835728,6.389580885569255,7.039443174997966,13.0,19.0,74.5,29.47,199.28851500000005
2020-06-06 16:00:00,5.397639325686863,6.537159601847331,6.012940502166748,7.287823232014974,14.0,16.5,72.0,29.47,199.33320833333332
2020-06-06 17:00:00,4.799912878445217,5.427207112312317,4.744331983419565,6.226468903677804,12.5,16.5,70.0,29.485,197.28292416666667
2020-06-06 18:00:00,4.831841043063572,5.772403430938721,4.842248932520548,6.005484700202942,9.0,9.666666666666666,91.66666666666667,29.5,193.63923
2020-06-06 19:00:00,6.731742000579834,7.513272285461426,7.103013237317403,8.48536392847697,10.0,6.5,94.0,29.515,133.7153075
2020-06-06 20:00:00,7.706489515304566,8.568436895098005,8.5285724231175,9.515511580875941,10.5,6.0,94.0,29.53,112.26811166666668
2020-06-06 21:00:00,6.274792551994324,8.51457010904948,8.597016906738281,9.402159492174784,10.0,3.0,94.0,29.59,91.22747583333334
2020-06-06 22:00:00,6.778315957387289,6.76095049721854,6.734430233637492,7.114196733994917,10.0,7.0,94.0,29.59,88.69340499999998
2020-06-06 23:00:00,5.484447065989176,5.852183723449707,6.535252968470256,7.162228647867838,9.0,6.0,94.0,29.59,80.35952166666668
2020-06-07 00:00:00,5.17098593711853,4.748624903815133,6.05014338860145,6.313484477996826,8.0,6.0,93.0,29.62,52.38075916666666
2020-06-07 01:00:00,5.019471849714007,4.829629516601562,6.156079451243083,6.256154219309489,8.0,2.0,93.0,29.62,38.77360416666666
2020-06-07 02:00:00,5.906564419086163,5.497623573650014,7.1272607485453285,7.02048397064209,7.0,3.0,100.0,29.65,26.151745000000005
2020-06-07 03:00:00,7.6442320346832275,8.932147639138359,10.430990505218507,10.138906683240618,7.0,5.0,93.0,29.65,26.669952499999997
2020-06-07 04:00:00,10.695344257354737,9.95561793645223,12.666311518351238,13.029580116271973,6.0,1.0,100.0,29.68,33.18817166666667
2020-06-07 05:00:00,10.800866762797037,13.30854320526123,13.281425476074219,14.483447551727295,7.0,3.0,100.0,29.68,26.8270725
2020-06-07 06:00:00,9.859176127115886,13.3598264058431,11.764549652735392,13.821151542663575,9.0,6.0,100.0,29.71,31.384060833333336
2020-06-07 07:00:00,8.961631965637206,10.979945182800293,9.727521069844563,11.929432233174643,10.0,6.0,100.0,29.74,47.25648833333333
2020-06-07 08:00:00,6.4658251444498696,7.707487265268962,7.449048553194318,9.33785727818807,12.0,7.0,88.0,29.74,72.60044416666668
2020-06-07 09:00:00,4.991188423974173,5.697010533014933,5.491616980234782,6.133091926574707,14.0,8.5,74.5,29.755,71.63918916666667
2020-06-07 10:00:00,3.5668808732713972,4.218020353998456,4.1743901888529455,4.378125635782878,15.0,9.5,65.5,29.77,106.83657916666665
2020-06-07 11:00:00,3.081728901181902,3.535451793670654,3.4312680417841133,3.684578212102254,16.5,9.5,57.5,29.77,140.00096000000005
2020-06-07 12:00:00,2.867536274592082,2.8178679307301837,2.9848188436948337,3.550383218129476,17.5,11.0,50.5,29.8,169.61771333333334
2020-06-07 13:00:00,2.822937088353293,2.9138542652130126,3.236079374949137,3.913370974858602,18.0,12.5,49.0,29.8,174.76971416666666
2020-06-07 14:00:00,4.330949195226034,4.410773732445457,4.453698714574178,5.260963344573975,17.0,11.0,56.0,29.814999999999998,202.49597666666668
